tag_a,tag_b,n_a,n_b,n_both,reach,demand_both,max_ccu,best_game,avg_rating,best_url
genre:Tycoon,rebirth,451,170,55,566,205400,161527,Steal a Brainrot,87.9,https://www.roblox.com/games/109983668079237
genre:Tycoon,steal,451,94,51,494,215722,161527,Steal a Brainrot,86.4,https://www.roblox.com/games/109983668079237
rebirth,steal,170,94,19,245,163896,161527,Steal a Brainrot,87.1,https://www.roblox.com/games/109983668079237
collect,fish,402,65,14,453,151678,144906,[🦈UPD] Fish It! 🐟,87.8,https://www.roblox.com/games/121864768012064
collect,genre:Incremental Simulator,402,512,152,762,418993,144906,[🦈UPD] Fish It! 🐟,88.1,https://www.roblox.com/games/121864768012064
fish,genre:Incremental Simulator,65,512,22,555,151598,144906,[🦈UPD] Fish It! 🐟,84.7,https://www.roblox.com/games/121864768012064
fish,pet,65,222,2,285,144930,144906,[🦈UPD] Fish It! 🐟,87.8,https://www.roblox.com/games/121864768012064
genre:Incremental Simulator,pet,512,222,130,604,315588,144906,[🦈UPD] Fish It! 🐟,91.6,https://www.roblox.com/games/121864768012064
collect,simulator,402,229,52,579,177520,104135,[BACKROOMS] Pet Simulator 99!,85.4,https://www.roblox.com/games/8737899170
pet,simulator,222,229,50,401,119913,104135,[BACKROOMS] Pet Simulator 99!,88.0,https://www.roblox.com/games/8737899170
genre:Tycoon,sell,451,96,54,493,117781,99881,Sell Lemons 🍋,90.1,https://www.roblox.com/games/79268393072444
brainrot,collect,131,402,51,482,175970,97640,[🏆] Kick a Lucky Block,87.1,https://www.roblox.com/games/89469502395769
brainrot,kick,131,31,6,156,101106,97640,[🏆] Kick a Lucky Block,81.7,https://www.roblox.com/games/89469502395769
brainrot,lucky,131,77,29,179,156240,97640,[🏆] Kick a Lucky Block,88.4,https://www.roblox.com/games/89469502395769
brainrot,roll,131,98,15,214,127653,97640,[🏆] Kick a Lucky Block,90.2,https://www.roblox.com/games/89469502395769
brainrot,survive,131,243,17,357,107953,97640,[🏆] Kick a Lucky Block,86.5,https://www.roblox.com/games/89469502395769
brainrot,train,131,185,8,308,103916,97640,[🏆] Kick a Lucky Block,90.2,https://www.roblox.com/games/89469502395769
collect,genre:Tycoon,402,451,121,732,281519,97640,[🏆] Kick a Lucky Block,89.6,https://www.roblox.com/games/89469502395769
collect,kick,402,31,13,420,104314,97640,[🏆] Kick a Lucky Block,87.7,https://www.roblox.com/games/89469502395769
collect,lucky,402,77,29,450,151323,97640,[🏆] Kick a Lucky Block,87.3,https://www.roblox.com/games/89469502395769
collect,roll,402,98,27,473,163999,97640,[🏆] Kick a Lucky Block,87.6,https://www.roblox.com/games/89469502395769
collect,survive,402,243,34,611,116584,97640,[🏆] Kick a Lucky Block,82.1,https://www.roblox.com/games/89469502395769
collect,train,402,185,44,543,165119,97640,[🏆] Kick a Lucky Block,91.9,https://www.roblox.com/games/89469502395769
genre:Tycoon,kick,451,31,19,463,110086,97640,[🏆] Kick a Lucky Block,84.2,https://www.roblox.com/games/89469502395769
genre:Tycoon,lucky,451,77,38,490,167333,97640,[🏆] Kick a Lucky Block,88.9,https://www.roblox.com/games/89469502395769
genre:Tycoon,roll,451,98,29,520,148357,97640,[🏆] Kick a Lucky Block,90.4,https://www.roblox.com/games/89469502395769
genre:Tycoon,survive,451,243,24,670,112887,97640,[🏆] Kick a Lucky Block,88.7,https://www.roblox.com/games/89469502395769
genre:Tycoon,train,451,185,18,618,111147,97640,[🏆] Kick a Lucky Block,88.5,https://www.roblox.com/games/89469502395769
kick,lucky,31,77,10,98,104189,97640,[🏆] Kick a Lucky Block,87.3,https://www.roblox.com/games/89469502395769
kick,roll,31,98,10,119,104189,97640,[🏆] Kick a Lucky Block,87.3,https://www.roblox.com/games/89469502395769
kick,survive,31,243,10,264,104189,97640,[🏆] Kick a Lucky Block,87.3,https://www.roblox.com/games/89469502395769
kick,train,31,185,14,202,107583,97640,[🏆] Kick a Lucky Block,88.1,https://www.roblox.com/games/89469502395769
lucky,roll,77,98,25,150,156206,97640,[🏆] Kick a Lucky Block,90.7,https://www.roblox.com/games/89469502395769
lucky,survive,77,243,15,305,116389,97640,[🏆] Kick a Lucky Block,87.4,https://www.roblox.com/games/89469502395769
lucky,train,77,185,12,250,107481,97640,[🏆] Kick a Lucky Block,88.5,https://www.roblox.com/games/89469502395769
roll,survive,98,243,12,329,109140,97640,[🏆] Kick a Lucky Block,86.9,https://www.roblox.com/games/89469502395769
roll,train,98,185,15,268,104399,97640,[🏆] Kick a Lucky Block,87.7,https://www.roblox.com/games/89469502395769
survive,train,243,185,16,412,106231,97640,[🏆] Kick a Lucky Block,86.8,https://www.roblox.com/games/89469502395769
genre:Escape,horror,56,57,9,104,115134,74654,🐟 Dandy’s World [ALPHA],81.5,https://www.roblox.com/games/16116270224
fight,punch,223,29,10,242,71844,65465,The Strongest Battlegrounds,86.9,https://www.roblox.com/games/10449761463
fight,run,223,222,3,442,68956,65465,The Strongest Battlegrounds,73.4,https://www.roblox.com/games/10449761463
fight,tap,223,59,8,274,65539,65465,The Strongest Battlegrounds,83.6,https://www.roblox.com/games/10449761463
genre:Battlegrounds & Fighting,punch,131,29,9,151,77618,65465,The Strongest Battlegrounds,82.3,https://www.roblox.com/games/10449761463
genre:Battlegrounds & Fighting,run,131,222,6,347,106567,65465,The Strongest Battlegrounds,75.4,https://www.roblox.com/games/10449761463
genre:Battlegrounds & Fighting,tap,131,59,4,186,66185,65465,The Strongest Battlegrounds,76.0,https://www.roblox.com/games/10449761463
genre:Battlegrounds & Fighting,train,131,185,3,313,65494,65465,The Strongest Battlegrounds,80.6,https://www.roblox.com/games/10449761463
punch,run,29,222,2,249,66161,65465,The Strongest Battlegrounds,72.7,https://www.roblox.com/games/10449761463
punch,tap,29,59,3,85,66167,65465,The Strongest Battlegrounds,78.1,https://www.roblox.com/games/10449761463
punch,train,29,185,12,202,66903,65465,The Strongest Battlegrounds,90.2,https://www.roblox.com/games/10449761463
run,tap,222,59,3,278,66163,65465,The Strongest Battlegrounds,67.0,https://www.roblox.com/games/10449761463
tap,train,59,185,3,241,65491,65465,The Strongest Battlegrounds,73.1,https://www.roblox.com/games/10449761463
genre:1 vs All,prison,29,63,2,90,65461,65399,Forsaken,88.8,https://www.roblox.com/games/18687417158
genre:1 vs All,survive,29,243,16,256,155523,65399,Forsaken,83.1,https://www.roblox.com/games/18687417158
prison,survive,63,243,7,299,70239,65399,Forsaken,74.0,https://www.roblox.com/games/18687417158
genre:Battlegrounds & Fighting,tag,131,190,11,310,78161,65090,[🏖️DUELS] Murderers VS Sheriffs,77.3,https://www.roblox.com/games/135856908115931
car,genre:Life,105,72,14,163,87338,64587,Berry Avenue 🏠 RP,86.0,https://www.roblox.com/games/8481844229
car,rob,105,28,4,129,66773,64587,Berry Avenue 🏠 RP,89.3,https://www.roblox.com/games/8481844229
car,school,105,60,2,163,65483,64587,Berry Avenue 🏠 RP,88.7,https://www.roblox.com/games/8481844229
genre:Life,rob,72,28,1,99,64587,64587,Berry Avenue 🏠 RP,85.9,https://www.roblox.com/games/8481844229
genre:Life,school,72,60,15,117,79546,64587,Berry Avenue 🏠 RP,84.2,https://www.roblox.com/games/8481844229
rob,school,28,60,1,87,64587,64587,Berry Avenue 🏠 RP,85.9,https://www.roblox.com/games/8481844229
defense,fight,53,223,17,259,94589,64534,[🪲UNIVERSAL FINALE🐉] Universal Tower Defense X,90.6,https://www.roblox.com/games/133410800847665
defense,tower,53,172,30,195,138359,64534,[🪲UNIVERSAL FINALE🐉] Universal Tower Defense X,92.0,https://www.roblox.com/games/133410800847665
fight,genre:Tower Defense,223,42,14,251,130028,64534,[🪲UNIVERSAL FINALE🐉] Universal Tower Defense X,91.6,https://www.roblox.com/games/133410800847665
fight,tower,223,172,14,381,103922,64534,[🪲UNIVERSAL FINALE🐉] Universal Tower Defense X,92.4,https://www.roblox.com/games/133410800847665
genre:1 vs All,horror,29,57,3,83,72602,57312,[CURE] Violence District,92.3,https://www.roblox.com/games/93978595733734
horror,survive,57,243,18,282,99401,57312,[CURE] Violence District,76.9,https://www.roblox.com/games/93978595733734
collect,fruit,402,56,11,447,58313,56715,[🐻] Grow a Garden 🌶️,87.3,https://www.roblox.com/games/126884695634066
collect,garden,402,36,12,426,57706,56715,[🐻] Grow a Garden 🌶️,77.9,https://www.roblox.com/games/126884695634066
collect,grow,402,202,64,540,110797,56715,[🐻] Grow a Garden 🌶️,81.2,https://www.roblox.com/games/126884695634066
collect,plant,402,55,14,443,58641,56715,[🐻] Grow a Garden 🌶️,86.3,https://www.roblox.com/games/126884695634066
fruit,garden,56,36,5,87,56822,56715,[🐻] Grow a Garden 🌶️,88.7,https://www.roblox.com/games/126884695634066
fruit,genre:Tycoon,56,451,12,495,58124,56715,[🐻] Grow a Garden 🌶️,90.5,https://www.roblox.com/games/126884695634066
fruit,grow,56,202,11,247,59259,56715,[🐻] Grow a Garden 🌶️,84.6,https://www.roblox.com/games/126884695634066
fruit,plant,56,55,5,106,56959,56715,[🐻] Grow a Garden 🌶️,94.9,https://www.roblox.com/games/126884695634066
garden,genre:Tycoon,36,451,14,473,62921,56715,[🐻] Grow a Garden 🌶️,91.8,https://www.roblox.com/games/126884695634066
genre:Tycoon,grow,451,202,79,574,131047,56715,[🐻] Grow a Garden 🌶️,90.4,https://www.roblox.com/games/126884695634066
genre:Tycoon,plant,451,55,27,479,65221,56715,[🐻] Grow a Garden 🌶️,92.4,https://www.roblox.com/games/126884695634066
fish,grow,65,202,8,259,55443,55213,Fisch 🎨 [CUSTOMIZATION],90.2,https://www.roblox.com/games/16732694052
build,city,372,85,16,441,86109,46792,[UPD] Mini War,82.5,https://www.roblox.com/games/131346454575416
build,genre:Tycoon,372,451,140,683,251156,46792,[UPD] Mini War,87.7,https://www.roblox.com/games/131346454575416
build,grow,372,202,44,530,105580,46792,[UPD] Mini War,83.4,https://www.roblox.com/games/131346454575416
city,genre:Tycoon,85,451,10,526,51462,46792,[UPD] Mini War,88.8,https://www.roblox.com/games/131346454575416
city,grow,85,202,7,280,47025,46792,[UPD] Mini War,64.6,https://www.roblox.com/games/131346454575416
genre:Life,tag,72,190,2,260,44992,44828,LifeTogether 🏠 RP ,87.9,https://www.roblox.com/games/13967668166
collect,craft,402,55,15,442,58504,44720,Sol's RNG [ Raid HELL Mode🔥],88.8,https://www.roblox.com/games/15532962292
collect,rng,402,54,9,447,47421,44720,Sol's RNG [ Raid HELL Mode🔥],87.4,https://www.roblox.com/games/15532962292
craft,genre:Incremental Simulator,55,512,21,546,47027,44720,Sol's RNG [ Raid HELL Mode🔥],88.9,https://www.roblox.com/games/15532962292
craft,rng,55,54,9,100,46601,44720,Sol's RNG [ Raid HELL Mode🔥],86.5,https://www.roblox.com/games/15532962292
craft,roll,55,98,9,144,46668,44720,Sol's RNG [ Raid HELL Mode🔥],87.9,https://www.roblox.com/games/15532962292
genre:Incremental Simulator,rng,512,54,36,530,85614,44720,Sol's RNG [ Raid HELL Mode🔥],87.8,https://www.roblox.com/games/15532962292
genre:Incremental Simulator,roll,512,98,40,570,103770,44720,Sol's RNG [ Raid HELL Mode🔥],87.3,https://www.roblox.com/games/15532962292
rng,roll,54,98,31,121,86049,44720,Sol's RNG [ Raid HELL Mode🔥],89.2,https://www.roblox.com/games/15532962292
anime,collect,77,402,19,460,77554,41250,[🏖️ SUMMER PART 1] Anime Warriors III,94.4,https://www.roblox.com/games/18923620224
anime,fight,77,223,20,280,153632,41250,[🏖️ SUMMER PART 1] Anime Warriors III,93.0,https://www.roblox.com/games/18923620224
anime,genre:Action RPG,77,36,6,107,49579,41250,[🏖️ SUMMER PART 1] Anime Warriors III,94.8,https://www.roblox.com/games/18923620224
collect,fight,402,223,18,607,72157,41250,[🏖️ SUMMER PART 1] Anime Warriors III,86.4,https://www.roblox.com/games/18923620224
collect,genre:Action RPG,402,36,3,435,56554,41250,[🏖️ SUMMER PART 1] Anime Warriors III,95.8,https://www.roblox.com/games/18923620224
build,genre:Incremental Simulator,372,512,41,843,80390,41120,[🌽] Build A Ring Farm,84.0,https://www.roblox.com/games/107646426076756
build,harvest,372,17,7,382,41541,41120,[🌽] Build A Ring Farm,76.0,https://www.roblox.com/games/107646426076756
build,plant,372,55,12,415,41500,41120,[🌽] Build A Ring Farm,81.5,https://www.roblox.com/games/107646426076756
build,sell,372,96,27,441,55368,41120,[🌽] Build A Ring Farm,86.8,https://www.roblox.com/games/107646426076756
build,upgrade,372,357,78,651,136306,41120,[🌽] Build A Ring Farm,86.7,https://www.roblox.com/games/107646426076756
genre:Incremental Simulator,grow,512,202,75,639,82137,41120,[🌽] Build A Ring Farm,82.7,https://www.roblox.com/games/107646426076756
genre:Incremental Simulator,harvest,512,17,6,523,41416,41120,[🌽] Build A Ring Farm,87.8,https://www.roblox.com/games/107646426076756
genre:Incremental Simulator,plant,512,55,8,559,42143,41120,[🌽] Build A Ring Farm,94.0,https://www.roblox.com/games/107646426076756
genre:Incremental Simulator,sell,512,96,27,581,47489,41120,[🌽] Build A Ring Farm,90.1,https://www.roblox.com/games/107646426076756
genre:Incremental Simulator,upgrade,512,357,152,717,171711,41120,[🌽] Build A Ring Farm,87.6,https://www.roblox.com/games/107646426076756
grow,upgrade,202,357,44,515,60037,41120,[🌽] Build A Ring Farm,86.1,https://www.roblox.com/games/107646426076756
harvest,upgrade,17,357,4,370,41182,41120,[🌽] Build A Ring Farm,86.8,https://www.roblox.com/games/107646426076756
plant,upgrade,55,357,11,401,42730,41120,[🌽] Build A Ring Farm,90.0,https://www.roblox.com/games/107646426076756
sell,upgrade,96,357,31,422,50159,41120,[🌽] Build A Ring Farm,86.7,https://www.roblox.com/games/107646426076756
anime,battle,77,139,11,205,66573,40553,[🔥RELEASE🔥] Anime Squadron,85.5,https://www.roblox.com/games/71132543521245
anime,evolve,77,56,3,130,40774,40553,[🔥RELEASE🔥] Anime Squadron,92.0,https://www.roblox.com/games/71132543521245
anime,genre:Tower Defense,77,42,4,115,55665,40553,[🔥RELEASE🔥] Anime Squadron,97.0,https://www.roblox.com/games/71132543521245
anime,upgrade,77,357,6,428,41779,40553,[🔥RELEASE🔥] Anime Squadron,96.0,https://www.roblox.com/games/71132543521245
battle,evolve,139,56,4,191,49660,40553,[🔥RELEASE🔥] Anime Squadron,93.9,https://www.roblox.com/games/71132543521245
battle,genre:Tower Defense,139,42,5,176,44489,40553,[🔥RELEASE🔥] Anime Squadron,87.2,https://www.roblox.com/games/71132543521245
battle,upgrade,139,357,19,477,83916,40553,[🔥RELEASE🔥] Anime Squadron,79.2,https://www.roblox.com/games/71132543521245
evolve,fight,56,223,6,273,40688,40553,[🔥RELEASE🔥] Anime Squadron,89.9,https://www.roblox.com/games/71132543521245
evolve,genre:Tower Defense,56,42,2,96,41443,40553,[🔥RELEASE🔥] Anime Squadron,96.9,https://www.roblox.com/games/71132543521245
evolve,upgrade,56,357,9,404,41384,40553,[🔥RELEASE🔥] Anime Squadron,84.8,https://www.roblox.com/games/71132543521245
fight,upgrade,223,357,32,548,94032,40553,[🔥RELEASE🔥] Anime Squadron,89.1,https://www.roblox.com/games/71132543521245
genre:Tower Defense,upgrade,42,357,14,385,46450,40553,[🔥RELEASE🔥] Anime Squadron,91.5,https://www.roblox.com/games/71132543521245
animal,food,67,93,4,156,37511,36949,🍃 Creatures of Sonaria ✨ Survive Kaiju Animals,81.8,https://www.roblox.com/games/5233782396
animal,survive,67,243,3,307,37076,36949,🍃 Creatures of Sonaria ✨ Survive Kaiju Animals,91.4,https://www.roblox.com/games/5233782396
food,genre:Animal Sim,93,54,5,142,38266,36949,🍃 Creatures of Sonaria ✨ Survive Kaiju Animals,72.6,https://www.roblox.com/games/5233782396
food,survive,93,243,17,319,44495,36949,🍃 Creatures of Sonaria ✨ Survive Kaiju Animals,80.7,https://www.roblox.com/games/5233782396
genre:Animal Sim,survive,54,243,5,292,38906,36949,🍃 Creatures of Sonaria ✨ Survive Kaiju Animals,83.6,https://www.roblox.com/games/5233782396
escape,genre:1 vs All,226,29,6,249,43771,34717,Flee the Facility,87.1,https://www.roblox.com/games/893973440
escape,hide,226,69,10,285,55621,34717,Flee the Facility,84.2,https://www.roblox.com/games/893973440
genre:1 vs All,hide,29,69,12,86,51899,34717,Flee the Facility,82.3,https://www.roblox.com/games/893973440
genre:1 vs All,run,29,222,10,241,46193,34717,Flee the Facility,82.8,https://www.roblox.com/games/893973440
hide,run,69,222,18,273,61181,34717,Flee the Facility,79.1,https://www.roblox.com/games/893973440
fight,survive,223,243,33,433,80993,34442,Survive Zombie Arena,84.6,https://www.roblox.com/games/114204398207377
fight,zombie,223,73,25,271,56145,34442,Survive Zombie Arena,85.2,https://www.roblox.com/games/114204398207377
survive,zombie,243,73,24,292,88283,34442,Survive Zombie Arena,85.2,https://www.roblox.com/games/114204398207377
